Common Name,Scientific Name,Status,Original Status,State
Southern Bog Lemming,Synaptomys cooperi,Endangered,Endangered,Iowa
Northern Myotis,Myotis septentrionalis,Endangered,Endangered,Iowa
Indiana Myotis,Myotis sodalis,Endangered,Endangered,Iowa
Plains Spotted Skunk,Spilogale interrupta,Endangered,Endangered,Iowa
Piping Plover,Charadrius melodus,Endangered,Endangered,Iowa
Lake Sturgeon,Acipenser fulvescens,Endangered,Endangered,Iowa
Pallid Sturgeon,Scaphirhynchus albus,Endangered,Endangered,Iowa
Western Silvery Minnow,Hybognathus argyritis,Endangered,Endangered,Iowa
Sturgeon Chub,Macrhybopsis gelida,Endangered,Endangered,Iowa
Sicklefin Chub,Macrhybopsis meeki,Endangered,Endangered,Iowa
Northern Pearl Dace,Margariscus nachtriebi,Endangered,Endangered,Iowa
Pugnose Shiner,Miniellus anogenus,Endangered,Endangered,Iowa
Blacknose Shiner,Notropis heterolepis,Endangered,Endangered,Iowa
Ghost Shiner,Paranotropis buchanani,Endangered,Endangered,Iowa
Starhead Topminnow,Fundulus dispar,Endangered,Endangered,Iowa
Plains Topminnow,Fundulus sciadicus,Endangered,Endangered,Iowa
Crystal Darter,Crystallaria asprella,Endangered,Endangered,Iowa
Bluntnose Darter,Etheostoma chlorosoma,Endangered,Endangered,Iowa
Least Darter,Etheostoma microperca,Endangered,Endangered,Iowa
Great Plains Skink,Plestiodon obsoletus,Endangered,Endangered,Iowa
Western Hog-nosed Snake,Heterodon nasicus,Endangered,Endangered,Iowa
Eastern Copperhead,Agkistrodon contortrix,Endangered,Endangered,Iowa
Prairie Rattlesnake,Crotalus viridis,Endangered,Endangered,Iowa
Eastern Massasauga,Sistrurus catenatus,Endangered,Endangered,Iowa
Western Massasauga,Sistrurus tergeminus,Endangered,Endangered,Iowa
Wood Turtle,Glyptemis insculpta,Endangered,Endangered,Iowa
Yellow Mud Turtle,Kinosternon flavescens,Endangered,Endangered,Iowa
Blue-spotted Salamander,Ambystoma laterale,Endangered,Endangered,Iowa
Rusty Patched Bumble Bee,Bombus affinis,Endangered,Endangered,Iowa
Mottled Duskywing,Gesta martialis,Endangered,Endangered,Iowa
Arogos Skipper,Atrytone arogos,Endangered,Endangered,Iowa
Dusted Skipper,Atrytonopsis hianna,Endangered,Endangered,Iowa
Dakota Skipper,Hesperia dacotae,Endangered,Endangered,Iowa
Ottoe Skipper,Hesperia ottoe,Endangered,Endangered,Iowa
Poweshiek Skipperling,Oarisma poweshiek,Endangered,Endangered,Iowa
Mulberry Wing,Poanes massasoit,Endangered,Endangered,Iowa
Prairie Bluet,Coenagrion angulatum,Endangered,Endangered,Iowa
Bluff Vertigo,Vertigo meramecensis,Endangered,Endangered,Iowa
Iowa Pleistocene Snail,Discus macclintocki,Endangered,Endangered,Iowa
Slippershell,Alasmidonta viridis,Endangered,Endangered,Iowa
Spectaclecase,Cumberlandia monodonta,Endangered,Endangered,Iowa
Purple Wartyback,Cyclonaias tuberculata,Endangered,Endangered,Iowa
Spike,Eurynia dilatata,Endangered,Endangered,Iowa
Sheepnose,Plethobasus cyphyus,Endangered,Endangered,Iowa
Round Pigtoe,Pleurobema sintoxia,Endangered,Endangered,Iowa
Salamander Mussel,Simpsonaias ambigua,Endangered,Endangered,Iowa
White-tailed Jackrabbit,Lepus townsendii,Threatened,Threatened,Iowa
Plains Pocket Gopher,Geomys bursarius,Threatened,Threatened,Iowa
Plains Pocket Mouse,Perognathus flavescens,Threatened,Threatened,Iowa
North American Least Shrew,Cryptotis parvus,Threatened,Threatened,Iowa
Little Brown Myotis,Myotis lucifugus,Threatened,Threatened,Iowa
Tricolored Bat,Perimyotis subflavus,Threatened,Threatened,Iowa
Chuck-will’s-widow,Antrostomus carolinensis,Threatened,Threatened,Iowa
King Rail,Rallus elegans,Threatened,Threatened,Iowa
Least Tern,Sternula antillarum,Threatened,Threatened,Iowa
Black Tern,Chlidonias niger,Threatened,Threatened,Iowa
Forster’s Tern,Sterna forsteri,Threatened,Threatened,Iowa
Long-eared Owl,Asio otus,Threatened,Threatened,Iowa
Short-eared Owl,Asio flammeus,Threatened,Threatened,Iowa
Chestnut Lamprey,Ichthyomyzon castaneus,Threatened,Threatened,Iowa
American Eel,Anguilla rostrata,Threatened,Threatened,Iowa
Skipjack Herring,Alosa chrysochloris,Threatened,Threatened,Iowa
Weed Shiner,Alburnops texanus,Threatened,Threatened,Iowa
Redfin Shiner,Lythrurus umbratilis,Threatened,Threatened,Iowa
Topeka Shiner,Miniellus topeka,Threatened,Threatened,Iowa
Freckled Madtom,Noturus nocturnus,Threatened,Threatened,Iowa
Pugnose Minnow,Opsopoeodus emiliae,Threatened,Threatened,Iowa
Pirate Perch,Aphredoderus sayanus,Threatened,Threatened,Iowa
Redfin Pickerel,Esox americanus,Threatened,Threatened,Iowa
Trout-perch,Percopsis omiscomaycus,Threatened,Threatened,Iowa
Banded Killifish,Fundulus diaphanus,Threatened,Threatened,Iowa
Mottled Sculpin,Cottus bairdii,Threatened,Threatened,Iowa
Western Sand Darter,Ammocrypta clara,Threatened,Threatened,Iowa
Burbot,Lota lota,Threatened,Threatened,Iowa
Slender Glass Lizard,Ophisaurus attenuatus,Threatened,Threatened,Iowa
Western Wormsnake,Carphophis vermis,Threatened,Threatened,Iowa
Speckled Kingsnake,Lampropeltis holbrooki,Threatened,Threatened,Iowa
Plain-bellied Watersnake,Nerodia erythrogaster,Threatened,Threatened,Iowa
Diamond-backed Watersnake,Nerodia rhombifer,Threatened,Threatened,Iowa
Gophersnake,Pituophis catenifer,Threatened,Threatened,Iowa
Graham’s Crayfish Snake,Regina grahamii,Threatened,Threatened,Iowa
Blanding’s Turtle,Emydoidea blandingii,Threatened,Threatened,Iowa
Ornate Box Turtle,Terrapene ornata,Threatened,Threatened,Iowa
Eastern Musk Turtle,Sternotherus odoratus,Threatened,Threatened,Iowa
Mudpuppy,Necturus maculosus,Threatened,Threatened,Iowa
