Common Name,Scientific Name,Status,Original Status,State
Pale false foxglove,Agalinis skinneriana,Endangered,Endangered,Iowa
Roundleaf serviceberry,Amelanchier sanguinea,Endangered,Endangered,Iowa
Raccoon grape,Ampelopsis cordata,Endangered,Endangered,Iowa
Pearly everlasting,Anaphalis margaritacea,Endangered,Endangered,Iowa
Sand bluestem,Andropogon hallii,Endangered,Endangered,Iowa
Round-lobed hepatica,Anemone americana,Endangered,Endangered,Iowa
Carolina anemone,Anemone caroliniana,Endangered,Endangered,Iowa
Virginia snakeroot,Aristolochia serpentaria,Endangered,Endangered,Iowa
Black chokeberry,Aronia melanocarpa,Endangered,Endangered,Iowa
Fringed sagewort,Artemisia frigida,Endangered,Endangered,Iowa
Mead’s milkweed,Asclepias meadii,Endangered,Endangered,Iowa
Showy milkweed,Asclepias speciosa,Endangered,Endangered,Iowa
Green antelopehorn,Asclepias viridis,Endangered,Endangered,Iowa
Field milkvetch,Astragalus agrestis,Endangered,Endangered,Iowa
Prairie milkvetch,Astragalus laxmannii,Endangered,Endangered,Iowa
Fern-leaved false foxglove,Aureolaria pedicularia,Endangered,Endangered,Iowa
Water marigold,Bidens beckii,Endangered,Endangered,Iowa
Matricary grape fern,Botrychium matricariifolium,Endangered,Endangered,Iowa
Little grapefern,Botrychium simplex,Endangered,Endangered,Iowa
Swamp moonwort,Botrychium tenebrosum,Endangered,Endangered,Iowa
White-tinged sedge,Carex albicans,Endangered,Endangered,Iowa
Back’s sedge,Carex backii,Endangered,Endangered,Iowa
Cordroot sedge,Carex chordorrhiza,Endangered,Endangered,Iowa
Fringed sedge,Carex crinita,Endangered,Endangered,Iowa
Star sedge,Carex echinata,Endangered,Endangered,Iowa
Shoreline sedge,Carex hyalenolepis,Endangered,Endangered,Iowa
Hoplike sedge,Carex lupuliformis,Endangered,Endangered,Iowa
Intermediate sedge,Carex media,Endangered,Endangered,Iowa
Plantain-leaved sedge,Carex plantaginea,Endangered,Endangered,Iowa
Drooping sedge,Carex prasina,Endangered,Endangered,Iowa
Cyperus-like sedge,Carex pseudocyperus,Endangered,Endangered,Iowa
Reflexed sedge,Carex retroflexa,Endangered,Endangered,Iowa
Rocky Mountain sedge,Carex saximontana,Endangered,Endangered,Iowa
Fireweed,Chamaenerion angustifolium,Endangered,Endangered,Iowa
Pipsissewa,Chimaphila umbellata,Endangered,Endangered,Iowa
Drooping woodreed,Cinna latifolia,Endangered,Endangered,Iowa
Purple clematis,Clematis occidentalis,Endangered,Endangered,Iowa
Blue-eyed mary,Collinsia verna,Endangered,Endangered,Iowa
Spotted coralroot,Corallorhiza maculata,Endangered,Endangered,Iowa
Golden corydalis,Corydalis aurea,Endangered,Endangered,Iowa
Large-bracted corydalis,Corydalis curvisiliqua,Endangered,Endangered,Iowa
Pale corydalis,Corydalis flavula,Endangered,Endangered,Iowa
Pink corydalis,Corydalis sempervirens,Endangered,Endangered,Iowa
Silky prairie-clover,Dalea villosa,Endangered,Endangered,Iowa
Tree clubmoss,Dendrolycopodium dendroideum,Endangered,Endangered,Iowa
Sessile-leaved tick trefoil,Desmodium sessilifolium,Endangered,Endangered,Iowa
Roundleaved sundew,Drosera rotundifolia,Endangered,Endangered,Iowa
Marginal shield fern,Dryopteris marginalis,Endangered,Endangered,Iowa
Purple coneflower,Echinacea purpurea,Endangered,Endangered,Iowa
Elliptic spikerush,Eleocharis elliptica,Endangered,Endangered,Iowa
Few-flowered spikerush,Eleocharis quinqueflora,Endangered,Endangered,Iowa
Wolf’s spikerush,Eleocharis wolfii,Endangered,Endangered,Iowa
Wiegand’s wildrye,Elymus wiegandii,Endangered,Endangered,Iowa
Downy willowherb,Epilobium strictum,Endangered,Endangered,Iowa
Slender cottongrass,Eriophorum gracile,Endangered,Endangered,Iowa
Tawny cottongrass,Eriophorum virginicum,Endangered,Endangered,Iowa
Wood spurge,Euphorbia commutata,Endangered,Endangered,Iowa
Forked aster,Eurybia furcata,Endangered,Endangered,Iowa
Large-leaved aster,Eurybia macrophylla,Endangered,Endangered,Iowa
Schreber’s aster,Eurybia schreberi,Endangered,Endangered,Iowa
