Common Name,Scientific Name,Status,State,Taxon Key
Abbott's booby,Papasula (=Sula) abbotti,Endangered,All,2480983
Aboriginal Prickly-apple,Harrisia (=Cereus) aboriginum (=gracilis),Endangered,All,5384198
Acklins ground iguana,Cyclura rileyi nuchalis,Threatened,All,5224648
Acuña Cactus,Echinomastus erectocentrus var. acunensis,Endangered,All,11097408
Addax,Addax nasomaculatus,Endangered,All,2441101
Adriatic sturgeon,Acipenser naccarii,Endangered,All,2402193
A`e,Zanthoxylum dipetalum var. tomentosum,Endangered,All,4272368
A`e,Zanthoxylum hawaiiense,Endangered,All,3190080
A`e,Zanthoxylum oahuense,Endangered,All,3190114
African coelacanth,Latimeria chalumnae,Threatened,All,2441273
African dwarf crocodile,Osteolaemus tetraspis tetraspis,Endangered,All,2441385
African elephant,Loxodonta africana,Threatened,All,2435350
African penguin,Spheniscus demersus,Endangered,All,5229384
African slender-snouted crocodile,Crocodylus cataphractus,Endangered,All,2441403
African viviparous toads,Nectophrynoides spp.,Endangered,All,
African wild ass,Equus africanus,Endangered,All,5787168
African wild dog,Lycaon pictus,Endangered,All,5219317
`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,Threatened,All,7528350
`Ahinahina,Argyroxiphium sandwicense ssp. sandwicense,Endangered,All,7223054
"`Aiakeakua, popolo",Solanum sandwicense,Endangered,All,2931620
`Aiea,Nothocestrum breviflorum,Endangered,All,2928719
`Aiea,Nothocestrum latifolium,Endangered,All,2928714
`Aiea,Nothocestrum peltatum,Endangered,All,2928716
Akekee,Loxops caeruleirostris,Endangered,All,5231617
akiapolaau,Hemignathus wilsoni,Endangered,All,2494611
Akikiki,Oreomystis bairdi,Endangered,All,2494355
`Akohekohe (crested honeycreeper),Palmeria dolei,Endangered,All,5231622
`Akoko,Euphorbia celastroides var. kaenana,Endangered,All,3069979
`Akoko,Euphorbia deppeana,Endangered,All,3066293
`Akoko,Euphorbia eleanoriae,Endangered,All,3067702
`Akoko,Euphorbia haeleeleana,Endangered,All,3067836
`Akoko,Euphorbia herbstii,Endangered,All,3065516
`Akoko,Euphorbia kuwaleana,Endangered,All,3070104
`Akoko,Euphorbia remyi var. kauaiensis,Endangered,All,3069272
`Akoko,Euphorbia remyi var. remyi,Endangered,All,6709099
`Akoko,Euphorbia rockii,Endangered,All,3066636
`Akoko,Euphorbia skottsbergii var. skottsbergii,Endangered,All,3067988
'Akoko,Euphorbia halemanui,Endangered,All,3067517
`aku,Cyanea tritomantha,Endangered,All,5412268
`aku`aku,Cyanea platyphylla,Endangered,All,5412208
`Ala `ala wai nui,Peperomia subpetiolata,Endangered,All,3086464
Ala balik (trout),Salmo platycephalus,Endangered,All,2351565
Alabama beach mouse,Peromyscus polionotus ammobates,Endangered,All,2437996
Alabama Canebrake Pitcher Plant,Sarracenia rubra ssp. alabamensis,Endangered,All,5572814
Alabama cavefish,Speoplatyrhinus poulsoni,Endangered,All,2401719
Alabama cave shrimp,Palaemonias alabamae,Endangered,All,2223015
Alabama lampmussel,Lampsilis virescens,Endangered,All,2288159
