Common Name,Scientific Name,Scientific Name_url,ESA Listing Status,Entity Description,ESA Listing Date
Abbott's booby,Papasula (=Sula) abbotti,https://ecos.fws.gov/ecp/species/1470,Endangered,Wherever found,06-14-1976
Aboriginal Prickly-apple,Harrisia (=Cereus) aboriginum (=gracilis),https://ecos.fws.gov/ecp/species/2833,Endangered,,11-25-2013
Acklins ground iguana,Cyclura rileyi nuchalis,https://ecos.fws.gov/ecp/species/27,Threatened,Wherever found,06-22-1983
Acuña Cactus,Echinomastus erectocentrus var. acunensis,https://ecos.fws.gov/ecp/species/5785,Endangered,Wherever found,10-31-2013
Addax,Addax nasomaculatus,https://ecos.fws.gov/ecp/species/1486,Endangered,Wherever found,03-19-2014
Adriatic sturgeon,Acipenser naccarii,https://ecos.fws.gov/ecp/species/9747,Endangered,Wherever found,09-04-2014
A`e,Zanthoxylum dipetalum var. tomentosum,https://ecos.fws.gov/ecp/species/2297,Endangered,Wherever found,10-10-1996
A`e,Zanthoxylum hawaiiense,https://ecos.fws.gov/ecp/species/4645,Endangered,Wherever found,03-04-1994
A`e,Zanthoxylum oahuense,https://ecos.fws.gov/ecp/species/7998,Endangered,Wherever found,10-18-2012
African coelacanth,Latimeria chalumnae,https://ecos.fws.gov/ecp/species/10533,Threatened,Tanzanian Distinct Population  Segment (DPS) of African coelacanth,04-28-2016
African dwarf crocodile,Osteolaemus tetraspis tetraspis,https://ecos.fws.gov/ecp/species/7629,Endangered,Wherever found,06-14-1976
African elephant,Loxodonta africana,https://ecos.fws.gov/ecp/species/7724,Threatened,Wherever found,06-11-1978
African penguin,Spheniscus demersus,https://ecos.fws.gov/ecp/species/6711,Endangered,Wherever found,10-29-2010
African slender-snouted crocodile,Crocodylus cataphractus,https://ecos.fws.gov/ecp/species/4118,Endangered,Wherever found,03-28-1972
African viviparous toads,Nectophrynoides spp.,https://ecos.fws.gov/ecp/species/5734,Endangered,Wherever found,06-14-1976
African wild ass,Equus africanus,https://ecos.fws.gov/ecp/species/6590,Endangered,Wherever found,06-02-1970
African wild dog,Lycaon pictus,https://ecos.fws.gov/ecp/species/3925,Endangered,Wherever found,01-23-1984
`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,https://ecos.fws.gov/ecp/species/387,Threatened,Wherever found,05-15-1992
`Ahinahina,Argyroxiphium sandwicense ssp. sandwicense,https://ecos.fws.gov/ecp/species/262,Endangered,Wherever found,03-21-1986
"`Aiakeakua, popolo",Solanum sandwicense,https://ecos.fws.gov/ecp/species/7342,Endangered,Wherever found,02-25-1994
`Aiea,Nothocestrum breviflorum,https://ecos.fws.gov/ecp/species/7493,Endangered,Wherever found,03-04-1994
`Aiea,Nothocestrum latifolium,https://ecos.fws.gov/ecp/species/1061,Endangered,Wherever found,10-31-2016
`Aiea,Nothocestrum peltatum,https://ecos.fws.gov/ecp/species/5366,Endangered,Wherever found,02-25-1994
Akekee,Loxops caeruleirostris,https://ecos.fws.gov/ecp/species/153,Endangered,Wherever found,05-13-2010
akiapolaau,Hemignathus wilsoni,https://ecos.fws.gov/ecp/species/1816,Endangered,Wherever found,03-11-1967
Akikiki,Oreomystis bairdi,https://ecos.fws.gov/ecp/species/6617,Endangered,Wherever found,05-13-2010
`Akohekohe (crested honeycreeper),Palmeria dolei,https://ecos.fws.gov/ecp/species/3089,Endangered,Wherever found,03-11-1967
`Akoko,Euphorbia celastroides var. kaenana,https://ecos.fws.gov/ecp/species/3842,Endangered,Wherever found,10-29-1991
`Akoko,Euphorbia deppeana,https://ecos.fws.gov/ecp/species/6446,Endangered,Wherever found,03-28-1994
`Akoko,Euphorbia eleanoriae,https://ecos.fws.gov/ecp/species/1368,Endangered,Wherever found,05-13-2010
`Akoko,Euphorbia haeleeleana,https://ecos.fws.gov/ecp/species/8432,Endangered,Wherever found,10-10-1996
`Akoko,Euphorbia herbstii,https://ecos.fws.gov/ecp/species/6481,Endangered,Wherever found,10-10-1996
`Akoko,Euphorbia kuwaleana,https://ecos.fws.gov/ecp/species/6308,Endangered,Wherever found,10-29-1991
`Akoko,Euphorbia remyi var. kauaiensis,https://ecos.fws.gov/ecp/species/2643,Endangered,Wherever found,05-13-2010
`Akoko,Euphorbia remyi var. remyi,https://ecos.fws.gov/ecp/species/6388,Endangered,Wherever found,05-13-2010
`Akoko,Euphorbia rockii,https://ecos.fws.gov/ecp/species/6024,Endangered,Wherever found,10-10-1996
`Akoko,Euphorbia skottsbergii var. skottsbergii,https://ecos.fws.gov/ecp/species/6793,Endangered,Wherever found,08-24-1982
'Akoko,Euphorbia halemanui,https://ecos.fws.gov/ecp/species/8441,Endangered,Wherever found,05-13-1992
`aku,Cyanea tritomantha,https://ecos.fws.gov/ecp/species/7678,Endangered,Wherever found,11-29-2013
`aku`aku,Cyanea platyphylla,https://ecos.fws.gov/ecp/species/2041,Endangered,Wherever found,10-10-1996
`Ala `ala wai nui,Peperomia subpetiolata,https://ecos.fws.gov/ecp/species/7437,Endangered,Wherever found,06-27-2013
Ala balik (trout),Salmo platycephalus,https://ecos.fws.gov/ecp/species/5136,Endangered,Wherever found,06-02-1970
Alabama beach mouse,Peromyscus polionotus ammobates,https://ecos.fws.gov/ecp/species/6956,Endangered,Wherever found,06-06-1985
Alabama Canebrake Pitcher Plant,Sarracenia rubra ssp. alabamensis,https://ecos.fws.gov/ecp/species/1846,Endangered,Wherever found,03-10-1989
Alabama cavefish,Speoplatyrhinus poulsoni,https://ecos.fws.gov/ecp/species/50,Endangered,Wherever found,10-11-1977
Alabama cave shrimp,Palaemonias alabamae,https://ecos.fws.gov/ecp/species/5307,Endangered,Wherever found,09-07-1988
Alabama lampmussel,Lampsilis virescens,https://ecos.fws.gov/ecp/species/916,Endangered,Wherever found; Except where listed as Experimental Populations,06-14-1976
Alabama lampmussel,Lampsilis virescens,https://ecos.fws.gov/ecp/species/916,"Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))",06-14-2001
Alabama Leather Flower,Clematis socialis,https://ecos.fws.gov/ecp/species/6300,Endangered,Wherever found,09-26-1986
