County,Scientific Name,Common Name,Status,Category,Date,Count
Adams,Pandion haliaetus,Osprey,LT,Birds,1986-SU,1
Adams,Thryomanes bewickii,Bewick's Wren,LE,Birds,5/18/2013,1
Adams,Lanius ludovicianus,Loggerhead Shrike,LE,Birds,1989,2
Adams,Setophaga cerulea,Cerulean Warbler,LT,Birds,6/23/2012,2
Adams,Acipenser fulvescens,Lake Sturgeon,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/28/1966,1
Adams,Hybognathus hayi,Cypress Minnow,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/16/2004,1
Adams,Myotis grisescens,Gray Bat,LE,Mammals,2/8/2000,1
Adams,Myotis sodalis,Indiana Bat,LE,Mammals,5/18/2025,22
Adams,Myotis septentrionalis,Northern Long-eared Bat,LE,Mammals,6/27/2016,10
Adams,Margaritifera monodonta,Spectaclecase,LE,Freshwater Mussels,7/19/1987,1
Adams,Ellipsaria lineolata,Butterfly,LT,Freshwater Mussels,8/24/2018,4
Adams,Elliptio crassidens,Elephant-ear,LE,Freshwater Mussels,6/18/1987,1
Adams,Reginaia ebenus,Ebonyshell,LE,Freshwater Mussels,7/21/2016,3
Adams,Plethobasus cyphyus,Sheepnose,LE,Freshwater Mussels,7/19/1987,1
Adams,Viburnum molle,Arrowwood,LT,Dicots,6/20/2011,3
Adams,Trifolium reflexum,Buffalo Clover,LT,Dicots,6/2/2025,1
Adams,Mentzelia oligosperma,Stickleaf,LE,Dicots,201-,1
Adams,Delphinium carolinianum,Hill Prairie Larkspur,LE,Dicots,6/10/1974,2
Adams,Ulmus thomasii,Rock Elm,LE,Dicots,4/28/2025,1
Adams,Viola viarum,Limestone Riverbank Violet,LE,Dicots,7/24/1994,1
Adams,Carex prasina,Drooping Sedge,LT,Monocots,6/15/1989,1
Adams,Scirpus polyphyllus,Leafy Bulrush,LE,Monocots,6/15/1989,1
Adams,Melanthium virginicum,Virginia Bunchflower,LE,Monocots,6/29/1944,1
Adams,Trillium viride,Green Trillium,LE,Monocots,5/10/2002,2
Adams,Poa wolfii,Wolf's Bluegrass,LE,Monocots,5/29/2018,1
Adams,Quadrula metanevra,Monkeyface,LT,Freshwater Mussels,2009-10,2
Alexander,Hyla avivoca,Bird-voiced Treefrog,LT,Amphibians,5/8/2003,1
Alexander,Pseudacris illinoensis,Illinois Chorus Frog,LT,Amphibians,3/15/2025,8
Alexander,Gastrophryne carolinensis,Eastern Narrowmouth Toad,LT,Amphibians,7/17/2025,1
Alexander,Egretta caerulea,Little Blue Heron,LE,Birds,7/30/2006,2
Alexander,Pandion haliaetus,Osprey,LT,Birds,5/7/2024,3
Alexander,Sternula antillarum,Least Tern,LE,Birds,7/12/2016,3
