Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Acanthepeira stellata starbellied,orbweaver,GNR,S2S3,,SR
Admestina tibialis,a jumping spider,GNR,S2S3,,SR
Admestina wheeleri,Wheeler's thick-legged jumping spider,GNR,S2S3,,SR
Anahita punctulata,Southeastern Wandering Spider,G4,S1,,SE
Anthrobia whiteleyae,a sheetweb spider,GNR,S2,,ST
Antrodiaetus robustus robust,trapdoor spider,G3?,S1,,SE
Apochthonius indianensis,Indiana Cave Pseudoscorpion,G1,S1,,SE
Araneus juniperi white-striped,orbweaver,GNR,S1,,SE
Atypoides hadros,a folding trapdoor spider,GNR,S1,,SE
Castianeira alata an,antmimic spider,GNR,S1,,SE
Castianeira crocata,Red-spotted antmimic spider,GNR,S1,,SE
Ceraticelus limnologicus,a dwarf weaver,GNR,S2,,ST
Chthonius virginicus,A Pseudoscorpion,GNR,S1,,SE
Clubiona rileyi,a sac spider,GNR,S2,,ST
Collinsia oxypaederotipus,a dwarf weaver,GNR,S2S3,,SR
Coras aerialis big-eyed,spurred woodland funnelweaver,GNR,S1,,SE
Cybaeus giganteus,a water spider,GNR,S2,,ST
Disembolus bairdi,a money spider,GNR,S1,,SE
Drassyllus gynosaphes,a stealthy ground spider,GNR,S1,,SE
Emblyna evicta,a meshweaver spider,GNR,S1,,SE
Emblyna zaba,a meshweaver spider,GNR,S1,,SE
Emertonella emertoni,a cobweb spider,GNR,S1,,SE
Erebomaster flavescens,Golden Cave harvestman,G3G4,S2,,ST
Erigone aletris,A Dwarf Weaver,G5,S1,,SE
Gladicosa bellamyi,Bellamy's sword wolf spider,GNR,S1,,SE
Grammonota pallipes pale-footed,patterned money spider,GNR,S1,,SE
Habronattus conjunctus,a jumping spider,GNR,S2,,ST
Hesperochernes holsingeri,Holsinger's Cave Pseudoscorpion,G1,S1,,SE
Islandiana lewisi,Cave Sheet-web Spider,G1,S1,,SE
Iviella ohioensis,Ohio meshweaver,GNR,S1,,SE
Kleptochthonius packardi,Packard's Cave Pseudoscorpion,G2,S2,,SE
Mastophora bisaccata,a bolas spider,GNR,S2,,ST
Mastophora cornigera,a bolas spider,GNR,S2,,ST
Mecaphesa carletonica,Northeastern flower crab spider,GNR,S1,,SE
Mimetus nelsoni,Nelson's pirate spider,GNR,S1,,SE
Myrmekiaphila flavipes,a cyrtaucheiid spider,GNR,S1,,SE
Mythoplastoides exiguus,A Dwarf Weaver,GNR,S1,,SE
Neoscona oaxacensis western,spotted orbweaver,GNR,S2,,ST
Nesticus carteri,Carter's Cave Spider,GNR,S1,,SE
Nodocion floridanus,a stealthy ground spider,GNR,S1,,SE
Oedothorax montifer,A Dwarf Weaver,GNR,S1,,SE
Oreonetides beattyi,Beatty's sheet-web cave spider,GNR,S1,,SE
Paracornicularia bicapillata,a sheetweb spider,GNR,S1,,SE
Pelecopsis bishopi,a dwarf weaver,GNR,S1,,SE
