Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Aconitum uncinatum blue,monkshood,G4,S1,,SE
Actaea rubifolia,Appalachian bugbane,G3,S1,,SE
Actaea rubra,ssp. rubra red baneberry,G5T5,S1,,SE
Adlumia fungosa climbing,fumatory,G4,SX,,SX
Agalinis auriculata earleaf,foxglove,G3,S2,,ST
Agalinis gattingeri roundstem,foxglove,G4,S3,,ST
Agalinis skinneriana pale,false foxglove,G3G4,S2,,ST
Amelanchier humilis running,serviceberry,G5,S1,,SE
Ammophila breviligulata,American beachgrass,G5,S2,,ST
Anaphalis margaritacea pearly,everlasting,G5,SX,,SX
Andersonglossum boreale northern,wild comfrey,G5T4T5,SX,,SX
Andromeda glaucophylla bog,rosemary,G5T5,S2,,ST
Androsace occidentalis western,rockjasmine,G5,S2,,ST
Anemone caroliniana,Carolina anemone,G5,SX,,SX
Anticlea elegans,var. glaucus white camas,G5T4T5,S3,,ST
Arabis patens,Spreading Rockcress,G3,S1,,SE
Aralia hispida bristly,sarsaparilla,G5,S1,,SE
Arctostaphylos uva-ursi,bearberry,G5,S3,,ST
Arethusa bulbosa,swamp-pink,G5,SX,,SX
Aristida tuberculosa seabeach,needlegrass,G4,S3,,ST
Asclepias meadii,Mead's milkweed,G2,SX,T,
Asclepias viridis green,milkweed,G4G5,S1,,SE
Asplenium bradleyi,Bradley's spleenwort,G4,S1,,SE
Asplenium montanum mountain,spleenwort,G5,S1,,SE
Asplenium resiliens black-stem,spleenwort,G5,S2,,ST
Asplenium ruta-muraria wallrue,spleenwort,G5,S3,,ST
Astragalus tennesseensis,Tennessee milk-vetch,G3,SX,,
Aureolaria grandiflora,var. pulchra large-flower false-foxglove,G4G5T4T5,SX,,SX
Azolla caroliniana,Carolina mosquito-fern,G5,S3,,ST
Bacopa rotundifolia roundleaf,water-hyssop,G5,S2,,ST
Baptisia australis,var. australis blue wild indigo,G3G4,S1S2,,SE
Berberis canadensis,American barberry,G3G4,S1,,SE
Besseya bullii kitten,tails,G3,S1,,SE
Betula papyrifera paper,birch,G5,S3,,ST
Bidens beckii,Beck's water-marigold,G5,S1,,SE
Boechera grahamii,Graham's rockcress,G5,S1,,SE
Boechera stricta,Drummond's rockcress,G5,S1,,SE
Borodinia missouriensis green,rockcress,G5,S1,,SE
Botrychium matricariifolium chamomile,grape-fern,G5,S3,,ST
Botrychium simplex least,grape-fern,G5,S1,,SE
Brachyelytrum aristosum northern,shorthusk,G5,S1,,SE
Bryoxiphium norvegicum sword,moss,G5?,SU,,ST
Buchnera americana,bluehearts,G4?,S1,,SE
