County,Scientific Name,Common Name,Class,Order,Family,Federal Status,State Status,SGCN,Most Recent Observation Year
Adair,Phenacobius uranops,Stargazing Minnow,Actinopterygii,Cypriniformes,Leuciscidae,N,S,Yes,2002
Adair,Nothonotus maculatus,Spotted Darter,Actinopterygii,Perciformes,Percidae,N,T,Yes,2011
Adair,Percina macrocephala,Longhead Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,2020
Adair,Noturus exilis,Slender Madtom,Actinopterygii,Siluriformes,Ictaluridae,N,E,Yes,1962
Adair,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Amphibia,Caudata,Cryptobranchidae,PE,S,Yes,2025
Adair,Accipiter striatus,Sharp-shinned Hawk,Aves,Accipitriformes,Accipitridae,N,S,Yes,2010
Adair,Circus hudsonius,Northern Harrier,Aves,Accipitriformes,Accipitridae,N,T,Yes,2014
Adair,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2021
Adair,Pandion haliaetus,Osprey,Aves,Accipitriformes,Pandionidae,N,S,Yes,2014
Adair,Lophodytes cucullatus,Hooded Merganser,Aves,Anseriformes,Anatidae,N,T,Yes,2018
Adair,Actitis macularius,Spotted Sandpiper,Aves,Charadriiformes,Scolopacidae,N,E,Yes,2018
Adair,Bartramia longicauda,Upland Sandpiper,Aves,Charadriiformes,Scolopacidae,N,H,Yes,2011
Adair,Falco peregrinus,Peregrine Falcon,Aves,Falconiformes,Falconidae,N,E,Yes,2007
Adair,Fulica americana,American Coot,Aves,Gruiformes,Rallidae,N,E,No,2000
Adair,Riparia riparia,Bank Swallow,Aves,Passeriformes,Hirundinidae,N,S,Yes,2014
Adair,Lanius ludovicianus,Loggerhead Shrike,Aves,Passeriformes,Laniidae,N,S,Yes,2014
Adair,Cardellina canadensis,Canada Warbler,Aves,Passeriformes,Parulidae,N,S,Yes,2009
Adair,Vermivora chrysoptera,Golden-winged Warbler,Aves,Passeriformes,Parulidae,N,E,Yes,2013
Adair,Centronyx henslowii,Henslow's Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2014
Adair,Passerculus sandwichensis,Savannah Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2013
Adair,Sitta canadensis,Red-breasted Nuthatch,Aves,Passeriformes,Sittidae,N,E,No,2006
Adair,Cistothorus stellaris,Sedge Wren,Aves,Passeriformes,Troglodytidae,N,S,Yes,2010
Adair,Ardea alba,Great Egret,Aves,Pelecaniformes,Ardeidae,N,T,Yes,2013
Adair,Botaurus lentiginosus,American Bittern,Aves,Pelecaniformes,Ardeidae,N,H,Yes,2014
Adair,Bubulcus ibis,Cattle Egret,Aves,Pelecaniformes,Ardeidae,N,S,No,2007
Adair,Egretta caerulea,Little Blue Heron,Aves,Pelecaniformes,Ardeidae,N,E,No,2008
Adair,Nyctanassa violacea,Yellow-crowned Night-heron,Aves,Pelecaniformes,Ardeidae,N,T,Yes,2009
Adair,Nycticorax nycticorax,Black-crowned Night-heron,Aves,Pelecaniformes,Ardeidae,N,T,Yes,2013
Adair,Podilymbus podiceps,Pied-billed Grebe,Aves,Podicipediformes,Podicipedidae,N,E,Yes,2014
Adair,Asio flammeus,Short-eared Owl,Aves,Strigiformes,Strigidae,N,E,Yes,2013
Adair,Tyto furcata,American Barn Owl,Aves,Strigiformes,Tytonidae,N,S,Yes,2014
Adair,Phalacrocorax auritus,Double-crested Cormorant,Aves,Suliformes,Phalacrocoracidae,N,S,No,2008
Adair,Alasmidonta viridis,Slippershell Mussel,Bivalvia,Unionoida,Unionidae,N,S,Yes,2021
Adair,Lampsilis ovata,Pocketbook,Bivalvia,Unionoida,Unionidae,N,E,Yes,2021
Adair,Leaunio lienosus,Little Spectaclecase,Bivalvia,Unionoida,Unionidae,N,T,Yes,2007
Adair,Leaunio ortmanni,Kentucky Creekshell,Bivalvia,Unionoida,Unionidae,N,E,Yes,2021
Adair,Theliderma cylindrica,Rabbitsfoot,Bivalvia,Unionoida,Unionidae,T,E,Yes,2013
Adair,Toxolasma lividum,Purple Lilliput,Bivalvia,Unionoida,Unionidae,N,E,Yes,2021
Adair,Barbicambarus cornutus,Bottlebrush Crayfish,Malacostraca,Decapoda,Cambaridae,N,S,Yes,2021
Adair,Cambarus deweesae,Valley Flame Crayfish,Malacostraca,Decapoda,Cambaridae,N,S,Yes,2022
Adair,Lacunicambarus chimera,Crawzilla Crawdad,Malacostraca,Decapoda,Cambaridae,N,S,Yes,2001
Adair,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,Mammalia,Chiroptera,Vespertilionidae,N,S,Yes,2002
Adair,Myotis grisescens,Gray Myotis,Mammalia,Chiroptera,Vespertilionidae,E,T,Yes,2019
Adair,Myotis lucifugus,Little Brown Bat,Mammalia,Chiroptera,Vespertilionidae,N,T,Yes,2007
Adair,Myotis septentrionalis,Northern Long-Eared Bat,Mammalia,Chiroptera,Vespertilionidae,E,E,Yes,2014
Adair,Myotis sodalis,Indiana Bat,Mammalia,Chiroptera,Vespertilionidae,E,E,Yes,1976
Adair,Perimyotis subflavus,Tricolored Bat,Mammalia,Chiroptera,Vespertilionidae,PE,T,Yes,2018
Adair,Ichthyomyzon castaneus,Chestnut Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,N,S,Yes,2012
Adair,Ichthyomyzon greeleyi,Mountain Brook Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,N,T,Yes,2005
Allen,Vexillichthys atripinnis,Blackfin Sucker,Actinopterygii,Cypriniformes,Catostomidae,N,S,Yes,2019
Allen,Phenacobius uranops,Stargazing Minnow,Actinopterygii,Cypriniformes,Leuciscidae,N,S,Yes,1990
Allen,Nothonotus maculatus,Spotted Darter,Actinopterygii,Perciformes,Percidae,N,T,Yes,1986
Allen,Percina macrocephala,Longhead Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,2019
Allen,Noturus exilis,Slender Madtom,Actinopterygii,Siluriformes,Ictaluridae,N,E,Yes,1986
Allen,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Amphibia,Caudata,Cryptobranchidae,PE,S,Yes,2020
Allen,Accipiter striatus,Sharp-shinned Hawk,Aves,Accipitriformes,Accipitridae,N,S,Yes,2013
Allen,Circus hudsonius,Northern Harrier,Aves,Accipitriformes,Accipitridae,N,T,Yes,2013
Allen,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2021
Allen,Pandion haliaetus,Osprey,Aves,Accipitriformes,Pandionidae,N,S,Yes,2012
Allen,Lophodytes cucullatus,Hooded Merganser,Aves,Anseriformes,Anatidae,N,T,Yes,2014
Allen,Actitis macularius,Spotted Sandpiper,Aves,Charadriiformes,Scolopacidae,N,E,Yes,2011
