Common Name,Scientific Name,Status,State
Abbott's booby,Papasula (=Sula) abbotti,Endangered,All
Aboriginal Prickly-apple,Harrisia (=Cereus) aboriginum (=gracilis),Endangered,All
Acklins ground iguana,Cyclura rileyi nuchalis,Threatened,All
Acuña Cactus,Echinomastus erectocentrus var. acunensis,Endangered,All
Addax,Addax nasomaculatus,Endangered,All
Adriatic sturgeon,Acipenser naccarii,Endangered,All
A`e,Zanthoxylum dipetalum var. tomentosum,Endangered,All
A`e,Zanthoxylum hawaiiense,Endangered,All
A`e,Zanthoxylum oahuense,Endangered,All
African coelacanth,Latimeria chalumnae,Threatened,All
African dwarf crocodile,Osteolaemus tetraspis tetraspis,Endangered,All
African elephant,Loxodonta africana,Threatened,All
African penguin,Spheniscus demersus,Endangered,All
African slender-snouted crocodile,Crocodylus cataphractus,Endangered,All
African viviparous toads,Nectophrynoides spp.,Endangered,All
African wild ass,Equus africanus,Endangered,All
African wild dog,Lycaon pictus,Endangered,All
`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,Threatened,All
`Ahinahina,Argyroxiphium sandwicense ssp. sandwicense,Endangered,All
"`Aiakeakua, popolo",Solanum sandwicense,Endangered,All
`Aiea,Nothocestrum breviflorum,Endangered,All
`Aiea,Nothocestrum latifolium,Endangered,All
`Aiea,Nothocestrum peltatum,Endangered,All
Akekee,Loxops caeruleirostris,Endangered,All
akiapolaau,Hemignathus wilsoni,Endangered,All
Akikiki,Oreomystis bairdi,Endangered,All
`Akohekohe (crested honeycreeper),Palmeria dolei,Endangered,All
`Akoko,Euphorbia celastroides var. kaenana,Endangered,All
`Akoko,Euphorbia deppeana,Endangered,All
`Akoko,Euphorbia eleanoriae,Endangered,All
`Akoko,Euphorbia haeleeleana,Endangered,All
`Akoko,Euphorbia herbstii,Endangered,All
`Akoko,Euphorbia kuwaleana,Endangered,All
`Akoko,Euphorbia remyi var. kauaiensis,Endangered,All
`Akoko,Euphorbia remyi var. remyi,Endangered,All
