Common name,Scientific name,status,state
Barn owl,Tyto alba,Endangered,Michigan
Black tern,Chlidonias niger,Threatened,Michigan
Caspian tern,Hydroprogne caspia,Threatened,Michigan
Cerulean warbler,Setophaga cerulea,Threatened,Michigan
Common gallinule,Gallinula galeata,Threatened,Michigan
Common loon,Gavia immer,Threatened,Michigan
Common tern,Sterna hirundo,Threatened,Michigan
Eastern whip-poor-will,Antrostomus vociferus,Threatened,Michigan
Evening grosbeak,Coccothraustes vespertinus,Threatened,Michigan
Forster’s tern,Sterna forsteri,Threatened,Michigan
Golden-winged warbler,Vermivora chrysoptera,Threatened,Michigan
Henslow’s sparrow,Centronyx henslowii,Endangered,Michigan
King rail,Rallus elegans,Endangered,Michigan
Kirtland’s warbler,Setophaga kirtlandii,Threatened,Michigan
Least bittern,Ixobrychus exilis,Threatened,Michigan
Long-eared owl,Asio otus,Endangered,Michigan
Louisiana waterthrush,Parkesia motacilla,Threatened,Michigan
Migrant loggerhead shrike,Lanius ludovicianus migrans,Endangered,Michigan
Northern goshawk,Accipiter gentilis,Threatened,Michigan
Peregrine falcon,Falco peregrinus,Threatened,Michigan
Piping plover,Charadrius melodus,Endangered,Michigan
Short-eared owl,Asio flammeus,Endangered,Michigan
Spruce grouse,Canachites canadensis,Threatened,Michigan
Upland sandpiper,Bartramia longicauda,Threatened,Michigan
Yellow rail,Coturnicops noveboracensis,Threatened,Michigan
Bigmouth shiner,Notropis dorsalis,Threatened,Michigan
Brindled madtom,Noturus miurus,Threatened,Michigan
Channel darter,Percina copelandi,Endangered,Michigan
Cisco,Coregonus artedi,Threatened,Michigan
Eastern sand darter,Ammocrypta pellucida,Threatened,Michigan
Ives lake cisco,Coregonus hubbsi,Threatened,Michigan
Lake sturgeon,Acipenser fulvescens,Threatened,Michigan
Mooneye,Hiodon tergisus,Endangered,Michigan
Northern madtom,Noturus stigmosus,Endangered,Michigan
Orangethroat darter,Etheostoma spectabile,Threatened,Michigan
Pugnose minnow,Opsopoeodus emiliae,Endangered,Michigan
Pugnose shiner,Notropis anogenus,Endangered,Michigan
Redside dace,Clinostomus elongatus,Endangered,Michigan
River darter,Percina shumardi,Endangered,Michigan
River redhorse,Moxostoma carinatum,Threatened,Michigan
Sauger,Sander canadensis,Endangered,Michigan
Shortjaw cisco,Coregonus zenithicus,Endangered,Michigan
Silver chub,Macrhybopsis storeriana,Threatened,Michigan
Silver shiner,Notropis photogenis,Endangered,Michigan
Siskiwit lake cisco,Coregonus bartlettii,Threatened,Michigan
Southern redbelly dace,Chrosomus erythrogaster,Endangered,Michigan
Western creek chubsucker,Erimyzon oblongus,Endangered,Michigan
Blanchard's cricket frog,Acris crepitans blanchardii,Threatened,Michigan
Copper-bellied water snake,Nerodia erythrogaster neglecta,Endangered,Michigan
Eastern box turtle,Terrapene carolina,Threatened,Michigan
Eastern fox snake,Pantherophis gloydi,Threatened,Michigan
Eastern massasauga rattlesnake,Sistrurus catenatus,Threatened,Michigan
Kirtland's snake,Clonophis kirtlandii,Endangered,Michigan
Marbled salamander,Ambystoma opacum,Endangered,Michigan
Six-lined racerunner,Aspidoscelis sexlineatus,Threatened,Michigan
Small-mouthed salamander,Ambystoma texanum,Endangered,Michigan
Spotted turtle,Clemmys guttata,Threatened,Michigan
Western lesser siren,Siren intermedia nettingi,Endangered,Michigan
Wood turtle,Glyptemys insculpta,Threatened,Michigan
Alleghany river cruiser,Macromia alleghaniensis,Threatened,Michigan
American bumble bee,Bombus penslyvanicus,Endangered,Michigan
Culvers root borer,Papaipema sciata,Threatened,Michigan
Dukes' skipper,Euphyes dukesi,Threatened,Michigan
Elusive clubtail,Stylurus notatus,Threatened,Michigan
Frosted elfin,Callophrys irus,Threatened,Michigan
Gray petaltail,Tachopteryx thoreyi,Endangered,Michigan
Grizzled skipper,Pyrgus wyandot,Threatened,Michigan
Hine's emerald dragonfly,Somatochlora hineana,Endangered,Michigan
Hungerford's crawling water beetle,Brychius hungerfordi,Endangered,Michigan
Huron River leafhopper,Flexamia huroni,Endangered,Michigan
Karner blue,Lycaeides melissa samuelis,Threatened,Michigan
Lake Huron locust,Trimerotropis huroniana,Threatened,Michigan
Leadplant moth,Schinia lucens,Endangered,Michigan
Leafhopper,Flexamia reflexa,Threatened,Michigan
Mitchell's satyr,Neonympha mitchellii mitchellii,Endangered,Michigan
Nabokov's blue,Plebejus idas nabokovi,Threatened,Michigan
Ottoe skipper,Hesperia ottoe,Endangered,Michigan
Persius dusky wing,Erynnis persius,Threatened,Michigan
Phlox moth,Schinia indiana,Endangered,Michigan
Poweshiek skipperling,Oarisma poweshiek,Endangered,Michigan
Pygmy snaketail,Ophiogomphus howei,Threatened,Michigan
Robertson's flightless planthopper,Fitchiella robertsonii,Endangered,Michigan
Russet-tipped clubtail,Stylurus plagiatus,Endangered,Michigan
Rusty-patched bumble bee,Bombus affinis,Endangered,Michigan
Silphium borer moth,Papaipema silphii,Threatened,Michigan
Six-banded longhorn beetle,Dryobius sexnotatus,Threatened,Michigan
Swamp metalmark,Calephelis muticum,Endangered,Michigan
