Common Name,Scientific Name,State,State Status,Federal Status
MUCKET,ACTINONAIAS LIGAMENTINA,Mississippi,Endangered,
PURPLE WARTYBACK,CYCLONAIAS TUBERCULATA,Mississippi,Endangered,
DELICATE SPIKE,ELLIPTIO ARCTATA,Mississippi,Endangered,
CUMBERLANDIAN COMBSHELL,EPIOBLASMA BREVIDENS,Mississippi,Endangered,LE
SOUTHERN COMBSHELL,EPIOBLASMA PENITA,Mississippi,Endangered,LE
SNUFFBOX,EPIOBLASMA TRIQUETRA,Mississippi,Endangered,LE
SPIKE,EURYNIA DILATATA,Mississippi,Endangered,
ORANGE-NACRE MUCKET,HAMIOTA PEROVALIS,Mississippi,Endangered,LT
ALABAMA MOCCASINSHELL,MEDIONIDUS ACUTISSIMUS,Mississippi,Endangered,LT
SHEEPNOSE,PLETHOBASUS CYPHYUS,Mississippi,Endangered,LE
BLACK CLUBSHELL,PLEUROBEMA CURTUM,Mississippi,Endangered,LE
SOUTHERN CLUBSHELL,PLEUROBEMA DECISUM,Mississippi,Endangered,LE
FLAT PIGTOE,PLEUROBEMA MARSHALLI,Mississippi,Endangered,LE
TENNESSEE CLUBSHELL,PLEUROBEMA OVIFORME,Mississippi,Endangered,
OVATE CLUBSHELL,PLEUROBEMA PEROVATUM,Mississippi,Endangered,LE
PYRAMID PIGTOE,PLEUROBEMA RUBRUM,Mississippi,Endangered,
HEAVY PIGTOE,PLEUROBEMA TAITIANUM,Mississippi,Endangered,LE
SLABSIDE PEARLYMUSSEL,PLEURONAIA DOLABELLOIDES,Mississippi,Endangered,LE
FAT POCKETBOOK,POTAMILUS CAPAX,Mississippi,Endangered,LE
INFLATED HEELSPLITTER,POTAMILUS INFLATUS,Mississippi,Endangered,LT
KIDNEYSHELL,PTYCHOBRANCHUS FASCIOLARIS,Mississippi,Endangered,
RABBITSFOOT,THELIDERMA CYLINDRICA CYLINDRICA,Mississippi,Endangered,LT
MONKEYFACE,THELIDERMA METANEVRA,Mississippi,Endangered,
