COUNTY,SciName,CommonName,SRANK,GRANK,STSTAT,FEDSTAT
Adair,Asclepias meadii,Mead's Milkweed,S2,G2,E,T
Adair,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Adair,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Adair,Rallus elegans,King Rail,S1,G4,E,
Andrew,Acipenser fulvescens,Lake Sturgeon,S1,G3G4,E,
Andrew,Platygobio gracilis,Flathead Chub,S1,G5,E,
Andrew,Scaphirhynchus albus,Pallid Sturgeon,S1,G2,E,E
Atchison,Acipenser fulvescens,Lake Sturgeon,S1,G3G4,E,
Atchison,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Atchison,Platanthera praeclara,Western Prairie Fringed Orchid,S1,G3,E,T
Atchison,Platygobio gracilis,Flathead Chub,S1,G5,E,
Atchison,Scaphirhynchus albus,Pallid Sturgeon,S1,G2,E,E
Atchison,Spilogale interrupta,Plains Spotted Skunk,S1,G3,E,
Atchison,Tympanuchus cupido,Greater Prairie-chicken,S1,G4,E,
Audrain,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Audrain,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Audrain,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Barry,Kinosternon flavescens,Yellow Mud Turtle,S1,G5,E,
Barry,Lampsilis rafinesqueana,Neosho Mucket,S2,G1,E,E
Barry,Limnothlypis swainsonii,Swainson's Warbler,S2,G4,E,
Barry,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Barry,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Barry,Ozark Cavefish Recharge Area,,S2,GNR,E,T
Barry,Peucaea aestivalis,Bachman's Sparrow,S1,G3,E,
Barry,Pressodonta viridis,Slippershell Mussel,S1,G4G5,E,
Barry,Trifolium stoloniferum,Running Buffalo Clover,S1,G3,E,
Barry,Troglichthys rosae,Ozark Cavefish,S2,G3,E,T
Barton,Asclepias meadii,Mead's Milkweed,S2,G2,E,T
Barton,Circus hudsonius,Northern Harrier,S2,G5,E,
Barton,Etheostoma whipplei,Redfin Darter,S1,G4,E,
