Common Name,Scientific Name,Status,Original Status,State
Wing Snaggletooth,Gastrocopta procera,Threatened,Threatened,Wisconsin
Cherrystone Drop,Hendersonia occulta,Threatened,Threatened,Wisconsin
ENDANGERED (H) Bog Rush,Juncus stygius,Threatened,Threatened,Wisconsin
Pecatonica River Mayfly Acanthametropus pecatonica (H) Prairie Bush Clover*,Lespedeza leptostachya,Threatened,Threatened,Wisconsin
Flat-headed Mayfly Spinadis simplex (D) Auricled Twayblade,Listera auriculata,Threatened,Threatened,Wisconsin
A Leafhopper Attenuipyga vanduzeei (I) Fly Honeysuckle,Lonicera involucrata,Threatened,Threatened,Wisconsin
Swamp Metalmark Calephelis muticum (E) Smith's Melic Grass,Melica smithii,Threatened,Threatened,Wisconsin
Hairy-necked Tiger Beetle Cicindela hirticollis rhodensis (I) Mat Muhly,Muhlenbergia richardsonis,Threatened,Threatened,Wisconsin
Ottoe Skipper Hesperia ottoe (I) Louisiana Broomrape,Orobanche ludoviciana,Threatened,Threatened,Wisconsin
Giant Carrion Beetle** Nicrophorus americanus (D) Small-flowered Grass-of-Parnassus,Parnassia parviflora,Threatened,Threatened,Wisconsin
Extra-striped Snaketail Ophiogomphus anomalus (E) Butterwort,Pinguicula vulgaris,Threatened,Threatened,Wisconsin
Saint Croix Snaketail Ophiogomphus susbehcha (D) Heart-leaved Plantain,Plantago cordata,Threatened,Threatened,Wisconsin
Silphium Borer Moth Papaipema silphii (H),Platanthera leucophaea,Threatened,Threatened,Wisconsin
Hine’s Emerald** Somatochlora hineana (D) Pink Milkwort,Polygala incarnata,Threatened,Threatened,Wisconsin
Incurvate Emerald Somatochlora incurvata (G) Spotted Pondweed,Potamogeton pulcher,Threatened,Threatened,Wisconsin
Regal Fritillary Speyeria idalia (E) Rough White Lettuce,Prenanthes aspera,Threatened,Threatened,Wisconsin
Knobels Riffle Beetle Stenelmis knobeli (D) Great White Lettuce,Prenanthes crepidinea,Threatened,Threatened,Wisconsin
Lake Huron Locust Trimerotropis huroniana (D) Pine-drops,Pterospora andromedea,Threatened,Threatened,Wisconsin
THREATENED (D) Small Shinleaf,Pyrola minor,Threatened,Threatened,Wisconsin
An Issid Planthopper Fitchiella robertsoni (E) Small Yellow Water Crowfoot,Ranunculus gmelinii,Threatened,Threatened,Wisconsin
Frosted Elfin Callophrys irus (I) Lapland Buttercup,Ranunculus lapponicus,Threatened,Threatened,Wisconsin
Prairie Leafhopper Polyamia dilata (D) Lapland Rosebay,Rhododendron lapponicum,Threatened,Threatened,Wisconsin
Spatterdock Darner Rhionaeschna mutata (D) Wild Petunia,Ruellia humilis,Threatened,Threatened,Wisconsin
Sand Dune Willow,Salix cordata,Threatened,Threatened,Wisconsin
PLANTS (I) Satiny Willow,Salix pellita,Threatened,Threatened,Wisconsin
ENDANGERED (I) Hall’s Bulrush,Schoenoplectus hallii,Threatened,Threatened,Wisconsin
Pale False Foxglove Agalinis skinneriana (G) Netted Nut-rush,Scleria reticularis,Threatened,Threatened,Wisconsin
Cut-leaved Anemone Anemone multifida var. multifida (E) Low Spike-moss,Selaginella selaginoides,Threatened,Threatened,Wisconsin
Large-leaved Sandwort Moehringia (=Arenaria) macrophylla (I) Fire Pink,Silene viginica,Threatened,Threatened,Wisconsin
Lake Cress Armoracia lacustris (E) Blue-stemmed Goldenrod,Solidago caesia,Threatened,Threatened,Wisconsin
Green Spleenwort Asplenium trichomanes-ramosum (D) Hairy Meadow Parsnip,Thaspium chapmanii,Threatened,Threatened,Wisconsin
Alpine Milk Vetch Astragalus alpinus (E) Heartleaf Foamflower,Tiarella cordifolia,Threatened,Threatened,Wisconsin
Prairie Plum Astragalus crassicarpus (I) Purple False Oats,Trisetum melicoides,Threatened,Threatened,Wisconsin
Cooper's Milk Vetch Astragalus neglectus (D) Dwarf Bilberry,Vaccinium cespitosum,Threatened,Threatened,Wisconsin
Common Moonwort Botrychium lunaria (D) Squashberry,Viburnum edule,Threatened,Threatened,Wisconsin
Wild Hyacinth Camassia scilloides (E) Northern Monkshood*,Aconitum noveboracense,Threatened,Threatened,Wisconsin
Ravenfoot Sedge Carex crus-corvi (G) Muskroot,Adoxa moschatellina,Threatened,Threatened,Wisconsin
Smooth-sheathed Sedge Carex laevivaginata (G) Roundstem Foxglove,Agalinis gattingeri,Threatened,Threatened,Wisconsin
False Hop Sedge Carex lupuliformis (G) Round-leaved Orchis,Amerorchis rotundifolia,Threatened,Threatened,Wisconsin
Intermediate Sedge Carex media (E) Wooly Milkweed,Asclepias lanuginosa,Threatened,Threatened,Wisconsin
Schweinitz’s Sedge Carex schweinitzii (G) Dwarf Milkweed,Asclepias ovalifolia,Threatened,Threatened,Wisconsin
Brook Grass Catabrosa aquatica (H) Prairie Milkweed,Asclepias sullivantii,Threatened,Threatened,Wisconsin
Hemlock-parsley Conioselinum chinense (G) Pinnatifid Spleenwort,Asplenium pinnatifidum,Threatened,Threatened,Wisconsin
Obovate Beak Grass Diarrhena obovata (G) Kitten Tails,Besseya bullii,Threatened,Threatened,Wisconsin
Neat Spike-rush Eleocharis nitida (H) Large Water Starwort,Callitriche heterophylla,Threatened,Threatened,Wisconsin
Square-stem Spike-rush Eleocharis quadrangulata (H) Calypso Orchid,Calypso bulbosa,Threatened,Threatened,Wisconsin
Wolf's Spike-rush Eleocharis wolfii (D) Carey’s Sedge,Carex careyana,Threatened,Threatened,Wisconsin
Harbinger-of-Spring Erigenia bulbosa (H) Beautiful Sedge,Carex concinna,Threatened,Threatened,Wisconsin
Chestnut Sedge Fimbristylis puberula (H) Coast Sedge,Carex exilis,Threatened,Threatened,Wisconsin
Dwarf Umbrella Sedge Fuirena pumila (G) Handsome Sedge,Carex formosa,Threatened,Threatened,Wisconsin
Northern Commandra Geocaulon lividum (D) Elk Sedge,Carex garberi,Threatened,Threatened,Wisconsin
Lenticular Sedge,Carex lenticularis,Threatened,Threatened,Wisconsin
Michaux’s Sedge,Carex michauxiana,Threatened,Threatened,Wisconsin
Hill's Thistle,Cirsium hillii,Threatened,Threatened,Wisconsin
Dune (Pitcher's) Thistle*,Cirsium pitcheri,Threatened,Threatened,Wisconsin
Rams-head Lady's-slipper,Cypripedium arietinum,Threatened,Threatened,Wisconsin
White Lady's-slipper,Cypripedium candidum,Threatened,Threatened,Wisconsin
English Sundew,Drosera anglica,Threatened,Threatened,Wisconsin
Linear-leaved Sundew,Drosera linearis,Threatened,Threatened,Wisconsin
Pale Purple Coneflower,Echinacea pallida,Threatened,Threatened,Wisconsin
Beaked Spike-rush,Eleocharis rostellata,Threatened,Threatened,Wisconsin
Forked Aster,Eurybia furcata,Threatened,Threatened,Wisconsin
Western Fescue,Festuca occidentalis,Threatened,Threatened,Wisconsin
Blue Ash,Fraxinus quadrangulata,Threatened,Threatened,Wisconsin
Round Fruited St. John’s Wort,Hypericum sphaerocarpum,Threatened,Threatened,Wisconsin
Dwarf Lake Iris*,Iris lacustris,Threatened,Threatened,Wisconsin
Slender Bush Clover,Lespedeza virginica,Threatened,Threatened,Wisconsin
Bladderpod,Lesquerella ludoviciana,Threatened,Threatened,Wisconsin
Broad-leaved Twayblade,Listera convallarioides,Threatened,Threatened,Wisconsin
Brittle Prickly Pear,Opuntia fragilis,Threatened,Threatened,Wisconsin
Clustered Broomrape,Orobanche fasciculata,Threatened,Threatened,Wisconsin
Plains Ragwort,Packera indecora,Threatened,Threatened,Wisconsin
Marsh Grass-of-Parnassus,Parnassia palustris,Threatened,Threatened,Wisconsin
Sweet Colt's-foot,Petasites sagittatus,Threatened,Threatened,Wisconsin
Braun’s Holly Fern,Polystichum braunii,Threatened,Threatened,Wisconsin
Prairie-parsley,Polytaenia nuttallii,Threatened,Threatened,Wisconsin
Algae-leaved Pondweed,Potamogeton confervoides,Threatened,Threatened,Wisconsin
Cliff Cudweed,Pseudognaphalium saxicola,Threatened,Threatened,Wisconsin
Seaside Crowfoot,Ranunculus cymbalaria,Threatened,Threatened,Wisconsin
Long-beaked Bald-rush,Rhynchospora scirpoides,Threatened,Threatened,Wisconsin
Clustered Bur-reed,Sparganium glomeratum,Threatened,Threatened,Wisconsin
Sheathed Pondweed,Stuckenia vaginata,Threatened,Threatened,Wisconsin
False Asphodel,Triantha glutinosa,Threatened,Threatened,Wisconsin
Tufted Bulrush,Trichophorum cespitosum,Threatened,Threatened,Wisconsin
Snow Trillium,Trillium nivale,Threatened,Threatened,Wisconsin
Spike Trisetum,Trisetum spicatum,Threatened,Threatened,Wisconsin
Marsh Valerian,Valeriana uliginosa,Threatened,Threatened,Wisconsin
The Department of Natural,Resources reminds you,Threatened,Threatened,Wisconsin
only a first step toward identifying a problem that,Program is funded primarily by contributions to the tax,Threatened,Threatened,Wisconsin
the plants and animals listed. The real work follows through donations sent directly to the,Bureau of,Threatened,Threatened,Wisconsin
listing. The Bureau of Natural Heritage Conservation Endangered Resources. Your support is vital.,Help us,Threatened,Threatened,Wisconsin
plants and animals.,We are also interested in,Threatened,Threatened,Wisconsin
distribution is suspected but not yet proven).,If you,Threatened,Threatened,Wisconsin
